customer_id,gender,age,married,number_of_dependents,city,zip_code,latitude,longitude,population,number_of_referrals,tenure_in_months,offer,phone_service,avg_monthly_long_distance_charges,multiple_lines,internet_service,internet_type,avg_monthly_gb_download,online_security,online_backup,device_protection_plan,premium_tech_support,streaming_tv,streaming_movies,streaming_music,unlimited_data,contract,paperless_billing,payment_method,monthly_charge,total_charges,total_refunds,total_extra_data_charges,total_long_distance_charges,total_revenue,satisfaction_score,customer_status,churn_label,churn_score,cltv,churn_category,churn_reason,age_group
8779-QRDMV,Male,78,No,0,Los Angeles,90022,34.02381,-118.156582,68701,0,1,No offer,No,0.0,No,Yes,DSL,8,No,No,Yes,No,No,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,39.65,39.65,0.0,20.0,0.0,59.65,3.0,Churned,Yes,91.0,5433.0,Competitor,Competitor offered more data,Senior Citizen
7495-OOKFY,Female,74,Yes,1,Los Angeles,90063,34.044271,-118.185237,55668,1,8,Offer E,Yes,48.85,Yes,Yes,Fiber Optic,17,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,80.65,633.3,0.0,0.0,390.8,1024.1,3.0,Churned,Yes,69.0,5302.0,Competitor,Competitor made better offer,Senior Citizen
1658-BYGOY,Male,71,No,3,Los Angeles,90065,34.108833,-118.229715,47534,0,18,Offer D,Yes,11.33,Yes,Yes,Fiber Optic,52,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,95.45,1752.55,45.61,0.0,203.94,1910.88,2.0,Churned,Yes,81.0,3179.0,Competitor,Competitor made better offer,Senior Citizen
4598-XLKNJ,Female,78,Yes,1,Inglewood,90303,33.936291,-118.332639,27778,1,25,Offer C,Yes,19.76,No,Yes,Fiber Optic,12,No,Yes,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,98.5,2514.5,13.43,0.0,494.00000000000006,2995.07,2.0,Churned,Yes,88.0,5337.0,Dissatisfaction,Limited range of services,Senior Citizen
4846-WHAFZ,Female,80,Yes,1,Whittier,90602,33.972119,-118.020188,26265,1,37,Offer C,Yes,6.33,Yes,Yes,Fiber Optic,14,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,76.5,2868.15,0.0,0.0,234.21,3102.36,2.0,Churned,Yes,67.0,2793.0,Price,Extra data charges,Senior Citizen
4412-YLTKF,Female,72,No,1,Pico Rivera,90660,33.989524,-118.089299,63288,0,27,Offer C,Yes,3.33,Yes,Yes,Fiber Optic,18,No,No,Yes,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,78.05,2135.5,0.0,10.0,89.91,2235.41,1.0,Churned,Yes,95.0,4638.0,Competitor,Competitor had better devices,Senior Citizen
0390-DCFDQ,Female,76,Yes,2,Los Alamitos,90720,33.79499,-118.065591,21343,1,1,Offer E,Yes,15.28,No,Yes,Fiber Optic,30,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Mailed Check,70.45,70.45,0.0,0.0,15.28,85.73,2.0,Churned,Yes,76.0,3964.0,Other,Don't know,Senior Citizen
3445-HXXGF,Male,66,Yes,0,Sierra Madre,91024,34.168686,-118.057505,10558,6,58,Offer B,No,0.0,No,Yes,DSL,24,No,Yes,Yes,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,45.3,2651.2,40.95,0.0,0.0,2610.25,1.0,Churned,Yes,91.0,5444.0,Dissatisfaction,Service dissatisfaction,Senior Citizen
2656-FMOKZ,Female,70,No,2,Pasadena,91106,34.139402,-118.128658,23742,0,15,Offer D,Yes,44.07,Yes,Yes,Fiber Optic,19,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Mailed Check,74.45,1145.7,0.0,0.0,661.05,1806.75,2.0,Churned,Yes,91.0,5717.0,Dissatisfaction,Limited range of services,Senior Citizen
2070-FNEXE,Female,77,No,2,Pasadena,91107,34.159007,-118.087353,32369,0,7,Offer E,Yes,26.95,No,Yes,Fiber Optic,18,Yes,No,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,76.45,503.6,11.05,0.0,188.65,681.2,2.0,Churned,Yes,81.0,4419.0,Price,Lack of affordable download/upload speed,Senior Citizen
